UNITID,EFCSTATE,LINE,XEFRES01,EFRES01,XEFRES02,EFRES02 
100663, 1,  1,"R",1989,"R",1961
100663, 4,  4,"R",3,"R",3
100663, 6,  6,"R",13,"R",13
100663, 8,  8,"R",2,"R",2
100663, 9,  9,"R",2,"R",2
100663,10, 10,"R",1,"R",1
100663,12, 12,"R",27,"R",27
100663,13, 13,"R",118,"R",118
100663,15, 15,"R",2,"R",2
100663,17, 17,"R",13,"R",13
100663,18, 18,"R",2,"R",2
100663,21, 21,"R",6,"R",6
100663,22, 22,"R",29,"R",29
100663,23, 23,"R",2,"R",2
100663,24, 24,"R",8,"R",8
100663,25, 25,"R",2,"R",2
100663,26, 26,"R",2,"R",2
100663,27, 27,"R",1,"R",1
100663,28, 28,"R",16,"R",16
100663,29, 29,"R",5,"R",4
100663,34, 34,"R",2,"R",2
100663,35, 35,"R",1,"R",1
100663,36, 36,"R",6,"R",6
100663,37, 37,"R",10,"R",9
100663,39, 39,"R",8,"R",8
100663,41, 41,"R",2,"R",2
100663,42, 42,"R",3,"R",3
100663,45, 45,"R",6,"R",6
100663,47, 47,"R",83,"R",83
100663,48, 48,"R",13,"R",12
100663,51, 51,"R",8,"R",8
100663,53, 53,"R",1,"R",1
100663,54, 54,"R",2,"R",2
100663,55, 55,"R",2,"R",2
100663,58,999,"R",2390,"R",2359
100663,90, 90,"R",25,"R",25
100663,99, 99,"R",2415,"R",2384
100706, 1,  1,"R",816,"R",697
100706, 2,  2,"R",2,"R",1
100706, 4,  4,"R",1,"R",1
100706, 5,  5,"R",4,"R",3
100706, 6,  6,"R",2,"R",2
100706, 8,  8,"R",5,"R",4
100706,12, 12,"R",9,"R",8
100706,13, 13,"R",42,"R",37
100706,15, 15,"R",1,"R",1
100706,17, 17,"R",13,"R",11
100706,18, 18,"R",2,"R",2
100706,20, 20,"R",3,"R",2
100706,21, 21,"R",31,"R",28
100706,22, 22,"R",4,"R",3
100706,24, 24,"R",5,"R",5
100706,25, 25,"R",1,"R",1
100706,26, 26,"R",1,"R",1
100706,27, 27,"R",2,"R",2
100706,28, 28,"R",7,"R",6
100706,29, 29,"R",9,"R",9
100706,32, 32,"R",1,"R",1
100706,33, 33,"R",1,"R",1
100706,34, 34,"R",1,"R",1
100706,37, 37,"R",10,"R",9
100706,38, 38,"R",2,"R",0
100706,39, 39,"R",2,"R",2
100706,40, 40,"R",2,"R",2
100706,42, 42,"R",2,"R",2
100706,45, 45,"R",11,"R",9
100706,47, 47,"R",178,"R",171
100706,48, 48,"R",10,"R",7
100706,51, 51,"R",3,"R",2
100706,53, 53,"R",2,"R",2
100706,55, 55,"R",5,"R",5
100706,58,999,"R",1190,"R",1038
100706,90, 90,"R",13,"R",1
100706,98, 98,"R",1,"A",
100706,99, 99,"R",1204,"R",1039
100724, 1,  1,"R",273,"R",264
100724, 2,  2,"R",1,"R",1
100724, 4,  4,"R",4,"R",4
100724, 5,  5,"R",7,"R",7
100724, 6,  6,"R",38,"R",30
100724, 8,  8,"R",3,"R",3
100724, 9,  9,"R",1,"R",1
100724,11, 11,"R",6,"R",6
100724,12, 12,"R",95,"R",90
100724,13, 13,"R",180,"R",161
100724,17, 17,"R",34,"R",34
100724,18, 18,"R",11,"R",11
100724,20, 20,"R",4,"R",4
100724,21, 21,"R",5,"R",5
100724,22, 22,"R",26,"R",26
100724,23, 23,"R",2,"R",2
100724,24, 24,"R",13,"R",13
100724,25, 25,"R",2,"R",2
100724,26, 26,"R",27,"R",27
100724,27, 27,"R",4,"R",4
100724,28, 28,"R",20,"R",20
100724,29, 29,"R",17,"R",15
100724,32, 32,"R",5,"R",5
100724,34, 34,"R",2,"R",2
100724,36, 36,"R",7,"R",7
100724,37, 37,"R",7,"R",7
100724,39, 39,"R",22,"R",19
100724,40, 40,"R",5,"R",5
100724,41, 41,"R",1,"R",1
100724,42, 42,"R",1,"R",1
100724,45, 45,"R",7,"R",7
100724,47, 47,"R",12,"R",12
100724,48, 48,"R",27,"R",27
100724,51, 51,"R",4,"R",4
100724,53, 53,"R",1,"R",1
100724,55, 55,"R",4,"R",4
100724,58,999,"R",878,"R",832
100724,72, 72,"R",2,"R",2
100724,89,999,"R",2,"R",2
100724,90, 90,"R",10,"R",10
100724,99, 99,"R",890,"R",844
100751, 1,  1,"R",2851,"R",2838
100751, 2,  2,"R",3,"R",3
100751, 4,  4,"R",30,"R",30
100751, 5,  5,"R",33,"R",33
100751, 6,  6,"R",262,"R",261
100751, 8,  8,"R",89,"R",89
100751, 9,  9,"R",52,"R",51
100751,10, 10,"R",19,"R",19
100751,11, 11,"R",2,"R",2
100751,12, 12,"R",327,"R",326
100751,13, 13,"R",640,"R",639
100751,16, 16,"R",7,"R",7
100751,17, 17,"R",418,"R",417
100751,18, 18,"R",64,"R",64
100751,19, 19,"R",8,"R",8
100751,20, 20,"R",25,"R",25
100751,21, 21,"R",80,"R",80
100751,22, 22,"R",150,"R",149
100751,23, 23,"R",4,"R",4
100751,24, 24,"R",81,"R",81
100751,25, 25,"R",107,"R",107
100751,26, 26,"R",92,"R",90
100751,27, 27,"R",34,"R",34
100751,28, 28,"R",81,"R",80
100751,29, 29,"R",77,"R",77
100751,30, 30,"R",1,"R",1
100751,31, 31,"R",16,"R",16
100751,32, 32,"R",17,"R",17
100751,33, 33,"R",16,"R",16
100751,34, 34,"R",178,"R",177
100751,35, 35,"R",6,"R",6
100751,36, 36,"R",167,"R",167
100751,37, 37,"R",160,"R",160
100751,38, 38,"R",3,"R",3
100751,39, 39,"R",146,"R",145
100751,40, 40,"R",17,"R",17
100751,41, 41,"R",10,"R",10
100751,42, 42,"R",155,"R",154
100751,44, 44,"R",14,"R",14
100751,45, 45,"R",79,"R",79
100751,46, 46,"R",2,"R",2
100751,47, 47,"R",343,"R",342
100751,48, 48,"R",400,"R",399
100751,49, 49,"R",4,"R",4
100751,50, 50,"R",2,"R",2
100751,51, 51,"R",155,"R",155
100751,53, 53,"R",29,"R",29
100751,54, 54,"R",10,"R",9
100751,55, 55,"R",69,"R",69
100751,56, 56,"R",2,"R",2
100751,57, 57,"R",15,"R",15
100751,58,999,"R",7552,"R",7524
100751,90, 90,"R",41,"R",41
100751,99, 99,"R",7593,"R",7565
100760, 1,  1,"R",285,"R",222
100760, 9,  9,"R",1,"R",0
100760,13, 13,"R",3,"R",3
100760,22, 22,"R",1,"R",1
100760,40, 40,"R",1,"R",1
100760,58,999,"R",291,"R",227
100760,98, 98,"R",2,"A",
100760,99, 99,"R",293,"R",227
100830, 1,  1,"R",490,"R",405
100830,12, 12,"R",5,"R",5
100830,13, 13,"R",10,"R",10
100830,21, 21,"R",2,"R",2
100830,22, 22,"R",2,"R",2
100830,26, 26,"R",1,"R",1
100830,27, 27,"R",1,"R",1
100830,47, 47,"R",2,"R",1
100830,51, 51,"R",2,"R",1
100830,57, 57,"R",2,"R",2
100830,58,999,"R",517,"R",430
100830,90, 90,"R",22,"R",14
100830,99, 99,"R",539,"R",444
100858, 1,  1,"R",2923,"R",2865
100858, 2,  2,"R",1,"R",1
100858, 4,  4,"R",7,"R",7
100858, 5,  5,"R",9,"R",9
100858, 6,  6,"R",54,"R",54
100858, 8,  8,"R",66,"R",63
100858, 9,  9,"R",17,"R",16
100858,10, 10,"R",4,"R",4
100858,11, 11,"R",3,"R",3
100858,12, 12,"R",258,"R",258
100858,13, 13,"R",709,"R",701
100858,15, 15,"R",1,"R",1
100858,17, 17,"R",53,"R",52
100858,18, 18,"R",14,"R",14
100858,19, 19,"R",2,"R",2
100858,20, 20,"R",5,"R",5
100858,21, 21,"R",37,"R",37
100858,22, 22,"R",39,"R",38
100858,24, 24,"R",53,"R",52
100858,25, 25,"R",35,"R",34
100858,26, 26,"R",4,"R",4
100858,27, 27,"R",15,"R",15
100858,28, 28,"R",21,"R",21
100858,29, 29,"R",20,"R",20
100858,30, 30,"R",1,"R",1
100858,31, 31,"R",3,"R",3
100858,32, 32,"R",4,"R",4
100858,33, 33,"R",2,"R",2
100858,34, 34,"R",65,"R",65
100858,35, 35,"R",2,"R",2
100858,36, 36,"R",35,"R",35
100858,37, 37,"R",114,"R",112
100858,39, 39,"R",26,"R",26
100858,40, 40,"R",1,"R",1
100858,41, 41,"R",2,"R",2
100858,42, 42,"R",40,"R",39
100858,44, 44,"R",2,"R",2
100858,45, 45,"R",54,"R",53
100858,47, 47,"R",202,"R",199
100858,48, 48,"R",187,"R",187
100858,49, 49,"R",1,"R",1
100858,51, 51,"R",69,"R",67
100858,53, 53,"R",9,"R",9
100858,54, 54,"R",2,"R",2
100858,55, 55,"R",12,"R",12
100858,56, 56,"R",2,"R",2
100858,58,999,"R",5185,"R",5102
100858,72, 72,"R",1,"R",1
100858,89,999,"R",1,"R",1
100858,98, 98,"R",125,"A",
100858,99, 99,"R",5311,"R",5103
100937, 1,  1,"R",149,"R",144
100937, 5,  5,"R",2,"R",2
100937, 8,  8,"R",2,"R",2
100937, 9,  9,"R",1,"R",1
100937,12, 12,"R",10,"R",10
100937,13, 13,"R",32,"R",32
100937,17, 17,"R",2,"R",2
100937,21, 21,"R",1,"R",1
100937,22, 22,"R",4,"R",4
100937,28, 28,"R",3,"R",3
100937,34, 34,"R",1,"R",1
100937,36, 36,"R",1,"R",1
100937,37, 37,"R",2,"R",2
100937,45, 45,"R",1,"R",1
100937,47, 47,"R",25,"R",25
100937,48, 48,"R",5,"R",5
100937,51, 51,"R",1,"Z",0
100937,58,999,"R",242,"R",236
100937,90, 90,"R",2,"R",2
100937,99, 99,"R",244,"R",238
101143, 1,  1,"R",377,"R",298
101143,12, 12,"R",16,"R",13
101143,13, 13,"R",7,"R",5
101143,39, 39,"R",1,"Z",0
101143,48, 48,"R",1,"R",1
101143,51, 51,"R",2,"R",1
101143,58,999,"R",404,"R",318
101143,98, 98,"R",12,"A",
101143,99, 99,"R",416,"R",318
101161, 1,  1,"R",1281,"R",957
101161, 2,  2,"R",1,"R",1
101161, 8,  8,"R",1,"R",1
101161,12, 12,"R",31,"R",25
101161,13, 13,"R",5,"R",3
101161,17, 17,"R",1,"R",0
101161,18, 18,"R",1,"R",1
101161,22, 22,"R",11,"R",10
101161,28, 28,"R",5,"R",4
101161,36, 36,"R",1,"R",1
101161,39, 39,"R",1,"R",1
101161,40, 40,"R",1,"R",1
101161,42, 42,"R",1,"R",1
101161,47, 47,"R",1,"R",1
101161,48, 48,"R",2,"R",2
101161,51, 51,"R",1,"R",1
101161,58,999,"R",1345,"R",1010
101161,98, 98,"R",30,"A",
101161,99, 99,"R",1375,"R",1010
101189, 1,  1,"R",183,"R",183
101189, 2,  2,"R",1,"R",1
101189,12, 12,"R",10,"R",10
101189,13, 13,"R",8,"R",8
101189,22, 22,"R",1,"R",1
101189,25, 25,"R",3,"R",3
101189,26, 26,"R",1,"R",1
101189,28, 28,"R",5,"R",5
101189,32, 32,"R",1,"R",1
101189,36, 36,"R",2,"R",2
101189,58,999,"R",215,"R",215
101189,98, 98,"R",18,"A",
101189,99, 99,"R",233,"R",215
101240, 1,  1,"R",792,"R",515
101240,13, 13,"R",12,"R",7
101240,42, 42,"R",1,"R",1
101240,45, 45,"R",1,"R",1
101240,47, 47,"R",1,"R",0
101240,55, 55,"R",1,"R",0
101240,57, 57,"R",2,"R",1
101240,58,999,"R",810,"R",525
101240,90, 90,"R",3,"R",0
101240,98, 98,"R",18,"A",
101240,99, 99,"R",831,"R",525
101286, 1,  1,"R",745,"R",523
101286, 9,  9,"R",1,"R",1
101286,12, 12,"R",24,"R",16
101286,13, 13,"R",11,"R",7
101286,34, 34,"R",1,"Z",0
101286,37, 37,"R",1,"Z",0
101286,47, 47,"R",1,"Z",0
101286,48, 48,"R",1,"R",1
101286,58,999,"R",785,"R",548
101286,98, 98,"R",14,"A",
101286,99, 99,"R",799,"R",548
