UNITID,EFFYDLEV,XEYDETOT,EFYDETOT,XEYDEEXC,EFYDEEXC,XEYDESOM,EFYDESOM,XEYDENON,EFYDENON
100654, 1,"R",6628,"R",1689,"R",4694,"R",245
100654, 2,"R",5529,"R",1164,"R",4207,"R",158
100654, 3,"R",5517,"R",1156,"R",4205,"R",156
100654,11,"R",12,"R",8,"R",2,"R",2
100654,12,"R",1099,"R",525,"R",487,"R",87
100663, 1,"R",26327,"R",7004,"R",11971,"R",7352
100663, 2,"R",15675,"R",2742,"R",9917,"R",3016
100663, 3,"R",15072,"R",2587,"R",9794,"R",2691
100663,11,"R",603,"R",155,"R",123,"R",325
100663,12,"R",10652,"R",4262,"R",2054,"R",4336
100690, 1,"R",1087,"R",1087,"A",,"A",
100690, 2,"R",373,"R",373,"A",,"A",
100690, 3,"R",373,"R",373,"A",,"A",
100690,12,"R",714,"R",714,"A",,"A",
100706, 1,"R",11318,"R",3956,"R",6861,"R",501
100706, 2,"R",8886,"R",2609,"R",6023,"R",254
100706, 3,"R",8496,"R",2410,"R",5959,"R",127
100706,11,"R",390,"R",199,"R",64,"R",127
100706,12,"R",2432,"R",1347,"R",838,"R",247
100724, 1,"R",4478,"R",1346,"R",2902,"R",230
100724, 2,"R",3914,"R",1024,"R",2701,"R",189
100724, 3,"R",3913,"R",1023,"R",2701,"R",189
100724,11,"R",1,"R",1,"R",0,"R",0
100724,12,"R",564,"R",322,"R",201,"R",41
100751, 1,"R",41992,"R",9378,"R",30543,"R",2071
100751, 2,"R",34611,"R",6220,"R",27805,"R",586
100751, 3,"R",32964,"R",4674,"R",27735,"R",555
100751,11,"R",1647,"R",1546,"R",70,"R",31
100751,12,"R",7381,"R",3158,"R",2738,"R",1485
100760, 1,"R",2108,"R",1373,"R",439,"R",296
100760, 2,"R",2108,"R",1373,"R",439,"R",296
100760, 3,"R",1290,"R",807,"R",311,"R",172
100760,11,"R",818,"R",566,"R",128,"R",124
100812, 1,"R",3792,"R",2209,"R",1390,"R",193
100812, 2,"R",3521,"R",1939,"R",1390,"R",192
100812, 3,"R",3320,"R",1754,"R",1385,"R",181
100812,11,"R",201,"R",185,"R",5,"R",11
100812,12,"R",271,"R",270,"R",0,"R",1
100830, 1,"R",6141,"R",1121,"R",3758,"R",1262
100830, 2,"R",5054,"R",645,"R",3314,"R",1095
100830, 3,"R",4694,"R",498,"R",3240,"R",956
100830,11,"R",360,"R",147,"R",74,"R",139
100830,12,"R",1087,"R",476,"R",444,"R",167
100858, 1,"R",33175,"R",2794,"R",8584,"R",21797
100858, 2,"R",26057,"R",743,"R",8042,"R",17272
