UNITID,XBAREVCT,BAREVCT,XBAEXCLU,BAEXCLU,XBAAC150,BAAC150,XBANC100,BANC100,XBAGR100,BAGR100,XBANC150,BANC150,XBAGR150,BAGR150,XBAAEXCL,BAAEXCL,XBAAC200,BAAC200,XBANC20A,BANC200A,XBASTEND,BASTEND,XBANC200,BANC200,XBAGR200,BAGR200,XL4REVCT,L4REVCT,XL4EXCLU,L4EXCLU,XL4AC150,L4AC150,XL4NC100,L4NC100,XL4GR100,L4GR100,XL4NC150,L4NC150,XL4GR150,L4GR150,XL4AEXCL,L4AEXCL,XL4AC200,L4AC200,XL4NC20A,L4NC200A,XL4STEND,L4STEND,XL4NC200,L4NC200,XL4GR200,L4GR200 
100654,"R",932,"R",4,"R",928,"R",74,"R",8,"R",276,"R",30,"R",0,"R",928,"R",29,"R",22,"R",305,"R",33,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",
100663,"R",1730,"R",5,"R",1725,"R",694,"R",40,"R",1092,"R",63,"R",0,"R",1725,"R",42,"R",24,"R",1134,"R",66,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",
100690,"R",2,"R",0,"R",2,"R",1,"R",50,"R",1,"R",50,"Z",0,"R",2,"R",0,"Z",0,"R",1,"R",50,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",
100706,"R",638,"R",0,"R",638,"R",172,"R",27,"R",368,"R",58,"R",0,"R",638,"R",20,"R",3,"R",388,"R",61,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",
100724,"R",1517,"R",0,"R",1517,"R",250,"R",16,"R",497,"R",33,"R",0,"R",1517,"R",14,"R",26,"R",511,"R",34,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",
100751,"R",6428,"R",43,"R",6385,"R",3205,"R",50,"R",4540,"R",71,"R",0,"R",6385,"R",84,"R",25,"R",4624,"R",72,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",
100760,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"R",349,"R",0,"R",349,"R",52,"R",15,"R",67,"R",19,"R",0,"R",349,"R",8,"R",31,"R",75,"R",21
100830,"R",589,"R",1,"R",588,"R",55,"R",9,"R",200,"R",34,"R",0,"R",588,"R",18,"R",11,"R",218,"R",37,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",
100858,"R",3696,"R",5,"R",3691,"R",1865,"R",51,"R",2920,"R",79,"R",0,"R",3691,"R",61,"R",17,"R",2981,"R",81,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",
100937,"R",356,"R",0,"R",356,"R",218,"R",61,"R",246,"R",69,"R",0,"R",356,"R",1,"R",0,"R",247,"R",69,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",
101028,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"R",276,"R",0,"R",276,"R",35,"R",13,"R",62,"R",22,"R",0,"R",276,"R",7,"R",12,"R",69,"R",25
101116,"R",19,"R",0,"R",19,"Z",0,"R",0,"Z",0,"R",0,"R",0,"R",19,"R",0,"R",0,"R",0,"R",0,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",
101143,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"R",306,"R",0,"R",306,"R",64,"R",21,"R",79,"R",26,"R",0,"R",306,"R",10,"R",10,"R",89,"R",29
101161,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"R",1516,"R",0,"R",1516,"R",213,"R",14,"R",286,"R",19,"R",0,"R",1516,"R",21,"R",23,"R",307,"R",20
101189,"R",287,"R",1,"R",286,"R",39,"R",14,"R",91,"R",32,"Z",0,"R",286,"R",5,"Z",0,"R",96,"R",34,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",
101240,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"R",888,"R",0,"R",888,"R",106,"R",12,"R",243,"R",27,"R",0,"R",888,"R",59,"R",65,"R",302,"R",34
101277,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"R",46,"R",0,"R",46,"R",21,"R",46,"R",38,"R",83,"Z",0,"R",46,"R",0,"Z",0,"R",38,"R",83
101286,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"R",704,"R",0,"R",704,"R",115,"R",16,"R",203,"R",29,"Z",0,"R",704,"R",88,"Z",0,"R",291,"R",41
101295,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"R",1003,"R",0,"R",1003,"R",307,"R",31,"R",453,"R",45,"R",0,"R",1003,"R",28,"R",33,"R",481,"R",48
