UNITID,XLINE_10,LINE_10,XLINE_45,LINE_45,XLINE_50,LINE_50,XLINE_55,LINE_55,XLINE_11,LINE_11,XLINE_30,LINE_30,XLINE_51,LINE_51,XLINE_52,LINE_52,XPGLIN10,PGLIN10,XPGLIN45,PGLIN45,XPGLIN50,PGLIN50,XPGLIN11,PGLIN11,XSSLIN10,SSLIN10,XSSLIN45,SSLIN45,XSSLIN50,SSLIN50,XSSLIN11,SSLIN11,XNRLIN10,NRLIN10,XNRLIN45,NRLIN45,XNRLIN50,NRLIN50,XNRLIN11,NRLIN11 
101277,"R",30,"R",0,"R",30,"R",4,"R",22,"R",0,"R",0,"R",8,"R",23,"Z",0,"R",23,"R",17,"R",4,"Z",0,"R",4,"R",4,"R",3,"Z",0,"R",3,"R",1
102711,"R",135,"R",0,"R",135,"R",123,"R",128,"R",0,"R",0,"R",7,"R",39,"Z",0,"R",39,"R",39,"R",17,"Z",0,"R",17,"R",17,"R",79,"Z",0,"R",79,"R",72
103741,"R",56,"R",0,"R",56,"R",0,"R",34,"R",0,"R",1,"R",21,"R",50,"Z",0,"R",50,"R",29,"R",2,"Z",0,"R",2,"R",2,"R",4,"Z",0,"R",4,"R",3
103954,"R",13,"R",0,"R",13,"R",7,"R",7,"R",1,"R",1,"R",4,"R",12,"Z",0,"R",12,"R",7,"R",0,"Z",0,"R",0,"R",0,"R",1,"Z",0,"R",1,"R",0
103963,"R",513,"R",0,"R",513,"R",221,"R",261,"R",0,"R",0,"R",252,"R",355,"Z",0,"R",355,"R",189,"R",45,"Z",0,"R",45,"R",31,"R",113,"Z",0,"R",113,"R",41
104391,"R",36,"R",0,"R",36,"R",5,"R",20,"R",0,"R",3,"R",13,"R",31,"Z",0,"R",31,"R",17,"R",4,"Z",0,"R",4,"R",2,"R",1,"Z",0,"R",1,"R",1
104443,"R",25,"R",0,"R",25,"R",1,"R",13,"R",0,"R",0,"R",12,"R",21,"Z",0,"R",21,"R",10,"R",1,"Z",0,"R",1,"R",0,"R",3,"Z",0,"R",3,"R",3
104568,"R",150,"R",0,"R",150,"R",87,"R",95,"R",4,"R",50,"R",1,"R",120,"Z",0,"R",120,"R",78,"R",0,"Z",0,"R",0,"R",0,"R",30,"Z",0,"R",30,"R",17
105677,"R",11,"R",0,"R",11,"R",11,"R",11,"Z",0,"Z",0,"R",0,"R",4,"Z",0,"R",4,"R",4,"R",5,"Z",0,"R",5,"R",5,"R",2,"Z",0,"R",2,"R",2
106111,"R",34,"R",0,"R",34,"R",2,"R",13,"R",0,"R",1,"R",20,"R",32,"Z",0,"R",32,"R",11,"R",2,"Z",0,"R",2,"R",2,"R",0,"Z",0,"R",0,"R",0
106315,"R",2,"R",0,"R",2,"R",0,"R",2,"R",0,"R",0,"R",0,"R",1,"Z",0,"R",1,"R",1,"R",0,"Z",0,"R",0,"R",0,"R",1,"Z",0,"R",1,"R",1
106324,"R",28,"R",0,"R",28,"R",8,"R",19,"R",0,"R",0,"R",9,"R",26,"Z",0,"R",26,"R",19,"R",2,"Z",0,"R",2,"R",0,"R",0,"Z",0,"R",0,"R",0
106351,"R",3,"R",0,"R",3,"R",1,"R",1,"R",0,"R",2,"R",0,"R",0,"Z",0,"R",0,"R",0,"R",0,"Z",0,"R",0,"R",0,"R",3,"Z",0,"R",3,"R",1
106360,"R",30,"R",0,"R",30,"R",1,"R",14,"R",0,"R",6,"R",10,"R",22,"Z",0,"R",22,"R",9,"R",1,"Z",0,"R",1,"R",1,"R",7,"Z",0,"R",7,"R",4
