UNITID,PSGRTYPE,XPGREVCT,PGREVCT,XPGEXCLU,PGEXCLU,XPGADJCT,PGADJCT,XPGCMBAC,PGCMBAC,XPGCMOBA,PGCMOBA,XPGCMTOT,PGCMTOT,XSSREVCT,SSREVCT,XSSEXCLU,SSEXCLU,XSSADJCT,SSADJCT,XSSCMBAC,SSCMBAC,XSSCMOBA,SSCMOBA,XSSCMTOT,SSCMTOT,XNRREVCT,NRREVCT,XNREXCLU,NREXCLU,XNRADJCT,NRADJCT,XNRCMBAC,NRCMBAC,XNRCMOBA,NRCMOBA,XNRCMTOT,NRCMTOT,XTTREVCT,TTREVCT,XTTEXCLU,TTEXCLU,XTTADJCT,TTADJCT,XTTCMBAC,TTCMBAC,XTTCMOBA,TTCMOBA,XTTCMTOT,TTCMTOT 
100654, 1,"R",933,"R",0,"R",933,"R",261,"R",0,"R",261,"R",85,"R",0,"R",85,"R",27,"R",0,"R",27,"R",204,"R",0,"R",204,"R",55,"R",0,"R",55,"R",1222,"R",0,"R",1222,"R",343,"R",0,"R",343
100654, 2,"R",933,"Z",0,"R",933,"R",261,"R",0,"R",261,"R",85,"Z",0,"R",85,"R",27,"R",0,"R",27,"R",204,"Z",0,"R",204,"R",55,"R",0,"R",55,"R",1222,"R",0,"R",1222,"R",343,"R",0,"R",343
100663, 1,"R",539,"R",1,"R",538,"R",271,"R",2,"R",273,"R",214,"R",1,"R",213,"R",120,"R",0,"R",120,"R",840,"R",1,"R",839,"R",600,"R",0,"R",600,"R",1593,"R",3,"R",1590,"R",991,"R",2,"R",993
100663, 2,"R",537,"R",1,"R",536,"R",271,"R",0,"R",271,"R",213,"R",1,"R",212,"R",120,"R",0,"R",120,"R",840,"R",1,"R",839,"R",600,"R",0,"R",600,"R",1590,"R",3,"R",1587,"R",991,"R",0,"R",991
100663, 3,"R",2,"Z",0,"R",2,"Z",0,"R",2,"R",2,"R",1,"Z",0,"R",1,"Z",0,"R",0,"R",0,"R",0,"Z",0,"R",0,"Z",0,"R",0,"R",0,"R",3,"R",0,"R",3,"R",0,"R",2,"R",2
100690, 1,"R",8,"R",0,"R",8,"R",3,"R",0,"R",3,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",1,"R",0,"R",1,"R",1,"R",0,"R",1,"R",9,"R",0,"R",9,"R",4,"R",0,"R",4
100690, 2,"R",5,"Z",0,"R",5,"R",3,"R",0,"R",3,"R",0,"Z",0,"R",0,"R",0,"R",0,"R",0,"R",1,"Z",0,"R",1,"R",1,"R",0,"R",1,"R",6,"R",0,"R",6,"R",4,"R",0,"R",4
100690, 3,"R",3,"Z",0,"R",3,"Z",0,"R",0,"Z",0,"R",0,"Z",0,"R",0,"Z",0,"R",0,"Z",0,"R",0,"Z",0,"R",0,"Z",0,"R",0,"Z",0,"R",3,"R",0,"R",3,"R",0,"R",0,"R",0
100706, 1,"R",260,"R",0,"R",260,"R",124,"R",0,"R",124,"R",118,"R",0,"R",118,"R",58,"R",0,"R",58,"R",648,"R",0,"R",648,"R",441,"R",0,"R",441,"R",1026,"R",0,"R",1026,"R",623,"R",0,"R",623
100706, 2,"R",260,"Z",0,"R",260,"R",124,"R",0,"R",124,"R",118,"Z",0,"R",118,"R",58,"R",0,"R",58,"R",648,"Z",0,"R",648,"R",441,"R",0,"R",441,"R",1026,"R",0,"R",1026,"R",623,"R",0,"R",623
100724, 1,"R",764,"R",0,"R",764,"R",202,"R",0,"R",202,"R",78,"R",0,"R",78,"R",31,"R",0,"R",31,"R",164,"R",0,"R",164,"R",53,"R",0,"R",53,"R",1006,"R",0,"R",1006,"R",286,"R",0,"R",286
100724, 2,"R",764,"Z",0,"R",764,"R",202,"R",0,"R",202,"R",78,"Z",0,"R",78,"R",31,"R",0,"R",31,"R",164,"Z",0,"R",164,"R",53,"R",0,"R",53,"R",1006,"R",0,"R",1006,"R",286,"R",0,"R",286
100751, 1,"R",1277,"R",1,"R",1276,"R",696,"R",0,"R",696,"R",1199,"R",2,"R",1197,"R",807,"R",0,"R",807,"R",4700,"R",4,"R",4696,"R",3675,"R",0,"R",3675,"R",7176,"R",7,"R",7169,"R",5178,"R",0,"R",5178
100751, 2,"R",1277,"R",1,"R",1276,"R",696,"R",0,"R",696,"R",1199,"R",2,"R",1197,"R",807,"R",0,"R",807,"R",4700,"R",4,"R",4696,"R",3675,"R",0,"R",3675,"R",7176,"R",7,"R",7169,"R",5178,"R",0,"R",5178
100760, 4,"R",199,"Z",0,"R",199,"A",,"A",,"R",37,"R",29,"Z",0,"R",29,"A",,"A",,"R",5,"R",87,"Z",0,"R",87,"A",,"A",,"R",27,"R",315,"R",0,"R",315,"A",,"A",,"R",69
100830, 1,"R",288,"R",2,"R",286,"R",88,"R",0,"R",88,"R",68,"R",0,"R",68,"R",22,"R",0,"R",22,"R",212,"R",0,"R",212,"R",92,"R",0,"R",92,"R",568,"R",2,"R",566,"R",202,"R",0,"R",202
100830, 2,"R",288,"R",2,"R",286,"R",88,"R",0,"R",88,"R",68,"R",0,"R",68,"R",22,"R",0,"R",22,"R",212,"R",0,"R",212,"R",92,"R",0,"R",92,"R",568,"R",2,"R",566,"R",202,"R",0,"R",202
100858, 1,"R",620,"R",1,"R",619,"R",410,"R",0,"R",410,"R",671,"R",0,"R",671,"R",521,"R",0,"R",521,"R",3564,"R",6,"R",3558,"R",2990,"R",0,"R",2990,"R",4855,"R",7,"R",4848,"R",3921,"R",0,"R",3921
100858, 2,"R",620,"R",1,"R",619,"R",410,"R",0,"R",410,"R",671,"R",0,"R",671,"R",521,"R",0,"R",521,"R",3564,"R",6,"R",3558,"R",2990,"R",0,"R",2990,"R",4855,"R",7,"R",4848,"R",3921,"R",0,"R",3921
100937, 1,"R",92,"R",0,"R",92,"R",52,"R",0,"R",52,"R",83,"R",0,"R",83,"R",55,"R",0,"R",55,"R",266,"R",0,"R",266,"R",201,"R",0,"R",201,"R",441,"R",0,"R",441,"R",308,"R",0,"R",308
