UNITID,XSANIN01,SANIN01,XSANIT01,SANIT01,XSANIN02,SANIN02,XSANIT02,SANIT02,XSANIN03,SANIN03,XSANIT03,SANIT03,XSANIN04,SANIN04,XSANIT04,SANIT04,XSANIN05,SANIN05,XSANIT05,SANIT05,XSANIN06,SANIN06,XSANIT06,SANIT06,XSANIN07,SANIN07,XSANIT07,SANIT07,XSANIN08,SANIN08,XSANIT08,SANIT08,XSANIN09,SANIN09,XSANIT09,SANIT09,XSANIN10,SANIN10,XSANIT10,SANIT10,XSANIN11,SANIN11,XSANIT11,SANIT11,XSANIN12,SANIN12,XSANIT12,SANIT12,XSANIN13,SANIN13,XSANIT13,SANIT13,XSANIN14,SANIN14,XSANIT14,SANIT14 
100654,"R",432,"R",24973564,"R",3,"R",248969,"Z",0,"Z",0,"R",12,"R",652252,"R",74,"R",7061926,"R",24,"R",1237079,"R",27,"R",1677522,"R",100,"R",5573310,"R",1,"R",95249,"R",45,"R",1802263,"R",1,"R",47300,"R",126,"R",5659902,"R",10,"R",518219,"R",9,"R",399573
100663,"R",3270,"R",211104443,"Z",0,"Z",0,"Z",0,"Z",0,"R",165,"R",9619901,"R",353,"R",43865055,"R",624,"R",40464702,"R",550,"R",41198747,"R",242,"R",16769921,"R",89,"R",5487935,"R",492,"R",17773431,"Z",0,"Z",0,"R",404,"R",17383724,"R",284,"R",15234573,"R",67,"R",3306454
100690,"R",32,"R",3199997,"Z",0,"Z",0,"Z",0,"Z",0,"R",8,"R",688920,"Z",0,"Z",0,"R",7,"R",1146831,"R",5,"R",407097,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"R",10,"R",793913,"R",2,"R",163236,"Z",0,"Z",0
100706,"R",1105,"R",79252275,"Z",0,"Z",0,"Z",0,"Z",0,"R",12,"R",610750,"R",109,"R",14176661,"R",96,"R",5266044,"R",523,"R",43573446,"R",98,"R",4544098,"R",3,"R",245552,"R",92,"R",3392259,"Z",0,"Z",0,"R",162,"R",6963845,"R",9,"R",453620,"R",1,"R",26000
100724,"R",545,"R",27984230,"R",6,"R",286068,"Z",0,"Z",0,"R",105,"R",4552623,"R",49,"R",5435261,"R",39,"R",2266906,"R",38,"R",2286080,"R",79,"R",4551588,"R",4,"R",230900,"R",89,"R",2879957,"R",6,"R",270647,"R",91,"R",3581267,"R",36,"R",1529533,"R",3,"R",113400
100733,"R",86,"R",12573809,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"R",18,"R",4722662,"R",19,"R",1949984,"R",1,"R",66995,"R",23,"R",4127110,"Z",0,"Z",0,"R",2,"R",90558,"Z",0,"Z",0,"R",23,"R",1616500,"Z",0,"Z",0,"Z",0,"Z",0
100751,"R",4509,"R",280062556,"R",70,"R",7556255,"Z",0,"Z",0,"R",192,"R",9437510,"R",584,"R",71319931,"R",571,"R",36397253,"R",453,"R",28282644,"R",598,"R",39634106,"R",237,"R",13813729,"R",665,"R",26957269,"R",22,"R",649865,"R",775,"R",27914192,"R",229,"R",13241363,"R",113,"R",4858439
100760,"R",63,"R",4186412,"Z",0,"Z",0,"Z",0,"Z",0,"R",3,"R",200383,"R",17,"R",1826554,"R",6,"R",402185,"R",1,"R",38770,"R",2,"R",126813,"Z",0,"Z",0,"R",12,"R",505669,"Z",0,"Z",0,"R",22,"R",1086038,"Z",0,"Z",0,"Z",0,"Z",0
100812,"R",161,"R",10791218,"Z",0,"Z",0,"Z",0,"Z",0,"R",30,"R",2000298,"R",41,"R",4430931,"R",12,"R",676669,"R",13,"R",841154,"R",20,"R",942713,"Z",0,"Z",0,"R",2,"R",82188,"Z",0,"Z",0,"R",33,"R",1328628,"R",9,"R",436659,"R",1,"R",51978
100830,"R",338,"R",19283014,"Z",0,"Z",0,"Z",0,"Z",0,"R",28,"R",1308990,"R",82,"R",7666358,"R",27,"R",1258180,"R",41,"R",2877660,"R",43,"R",1926772,"R",4,"R",235200,"R",30,"R",1042130,"R",2,"R",96380,"R",80,"R",2838994,"Z",0,"Z",0,"R",1,"R",32350
100858,"R",4048,"R",276733585,"R",54,"R",4818998,"R",215,"R",13811834,"R",183,"R",10712765,"R",554,"R",72000984,"R",438,"R",28422357,"R",649,"R",41293645,"R",662,"R",46700527,"R",31,"R",3024340,"R",316,"R",12758183,"R",3,"R",139650,"R",544,"R",22434852,"R",343,"R",17778443,"R",56,"R",2837007
