UNITID,XUGPO9_N,UGPO9_N,XUGPO9_T,UGPO9_T,XUGPO9_A,UGPO9_A,XGPO9_N,GPO9_N,XGPO9_T,GPO9_T,XGPO9_A,GPO9_A,XPO9_N,PO9_N,XPO9_T,PO9_T,XPO9_A,PO9_A,XUGDOD_N,UGDOD_N,XUGDOD_T,UGDOD_T,XUGDOD_A,UGDOD_A,XGDOD_N,GDOD_N,XGDOD_T,GDOD_T,XGDOD_A,GDOD_A,XDOD_N,DOD_N,XDOD_T,DOD_T,XDOD_A,DOD_A   
100654,"R",303,"R",2038558,"R",6728,"R",48,"R",460888,"R",9602,"R",351,"R",2499446,"R",7121,"R",7,"R",29702,"R",4243,"R",2,"R",6000,"R",3000,"R",9,"R",35702,"R",3967
100663,"R",311,"R",2700048,"R",8682,"R",156,"R",1730027,"R",11090,"R",467,"R",4430075,"R",9486,"R",14,"R",30906,"R",2208,"R",15,"R",33351,"R",2223,"R",29,"R",64257,"R",2216
100690,"R",6,"R",51347,"R",8558,"R",12,"R",101745,"R",8479,"R",18,"R",153092,"R",8505,"R",10,"R",24250,"R",2425,"R",14,"R",39700,"R",2836,"R",24,"R",63950,"R",2665
100706,"R",285,"R",2208664,"R",7750,"R",43,"R",298373,"R",6939,"R",328,"R",2507037,"R",7643,"R",5,"R",13500,"R",2700,"R",7,"R",25750,"R",3679,"R",12,"R",39250,"R",3271
100724,"R",86,"R",358363,"R",4167,"R",8,"R",29093,"R",3637,"R",94,"R",387456,"R",4122,"R",13,"R",25772,"R",1982,"R",0,"R",0,"A",,"R",13,"R",25772,"R",1982
100751,"R",827,"R",9148727,"R",11063,"R",152,"R",1111383,"R",7312,"R",979,"R",10260110,"R",10480,"R",94,"R",321484,"R",3420,"R",26,"R",60740,"R",2336,"R",120,"R",382224,"R",3185
100760,"R",9,"R",29330,"R",3259,"A",,"A",,"A",,"R",9,"R",29330,"R",3259,"R",0,"R",0,"A",,"A",,"A",,"A",,"R",0,"R",0,"A",
100812,"R",45,"R",221711,"R",4927,"R",6,"R",45656,"R",7609,"R",51,"R",267367,"R",5242,"R",6,"R",15047,"R",2508,"R",1,"R",1500,"R",1500,"R",7,"R",16547,"R",2364
100830,"R",172,"R",1411670,"R",8207,"R",23,"R",113156,"R",4920,"R",195,"R",1524826,"R",7820,"R",26,"R",64500,"R",2481,"R",11,"R",35788,"R",3253,"R",37,"R",100288,"R",2710
100858,"R",689,"R",8181149,"R",11874,"R",132,"R",1683629,"R",12755,"R",821,"R",9864778,"R",12016,"R",13,"R",40250,"R",3096,"R",20,"R",66350,"R",3318,"R",33,"R",106600,"R",3230
100937,"R",17,"R",266826,"R",15696,"A",,"A",,"A",,"R",17,"R",266826,"R",15696,"R",0,"R",0,"A",,"A",,"A",,"A",,"R",0,"R",0,"A",
101028,"R",89,"R",275281,"R",3093,"A",,"A",,"A",,"R",89,"R",275281,"R",3093,"R",6,"R",8778,"R",1463,"A",,"A",,"A",,"R",6,"R",8778,"R",1463
101116,"R",23,"R",158731,"R",6901,"R",5,"R",34344,"R",6869,"R",28,"R",193075,"R",6896,"R",1,"R",1180,"R",1180,"R",0,"R",0,"A",,"R",1,"R",1180,"R",1180
101143,"R",67,"R",239249,"R",3571,"A",,"A",,"A",,"R",67,"R",239249,"R",3571,"R",0,"R",0,"A",,"A",,"A",,"A",,"R",0,"R",0,"A",
101161,"R",115,"R",391660,"R",3406,"A",,"A",,"A",,"R",115,"R",391660,"R",3406,"R",8,"R",12787,"R",1598,"A",,"A",,"A",,"R",8,"R",12787,"R",1598
101189,"R",79,"R",613237,"R",7762,"R",41,"R",446743,"R",10896,"R",120,"R",1059980,"R",8833,"R",9,"R",27594,"R",3066,"R",5,"R",14250,"R",2850,"R",14,"R",41844,"R",2989
101240,"R",47,"R",161147,"R",3429,"A",,"A",,"A",,"R",47,"R",161147,"R",3429,"R",2,"R",3127,"R",1564,"A",,"A",,"A",,"R",2,"R",3127,"R",1564
101277,"R",0,"R",0,"A",,"A",,"A",,"A",,"R",0,"R",0,"A",,"R",0,"R",0,"A",,"A",,"A",,"A",,"R",0,"R",0,"A",
101286,"R",57,"R",138936,"R",2437,"A",,"A",,"A",,"R",57,"R",138936,"R",2437,"R",8,"R",12350,"R",1544,"A",,"A",,"A",,"R",8,"R",12350,"R",1544
101295,"R",142,"R",729991,"R",5141,"A",,"A",,"A",,"R",142,"R",729991,"R",5141,"R",6,"R",1729,"R",288,"A",,"A",,"A",,"R",6,"R",1729,"R",288
101301,"R",12,"R",29756,"R",2480,"A",,"A",,"A",,"R",12,"R",29756,"R",2480,"R",0,"R",0,"A",,"A",,"A",,"A",,"R",0,"R",0,"A",
101365,"R",40,"R",261913,"R",6548,"R",1,"R",9012,"R",9012,"R",41,"R",270925,"R",6608,"R",1,"R",4000,"R",4000,"R",0,"R",0,"A",,"R",1,"R",4000,"R",4000
101435,"R",34,"R",706704,"R",20785,"R",0,"R",0,"A",,"R",34,"R",706704,"R",20785,"R",2,"R",4750,"R",2375,"R",0,"R",0,"A",,"R",2,"R",4750,"R",2375
101453,"R",0,"R",0,"A",,"R",1,"R",4470,"R",4470,"R",1,"R",4470,"R",4470,"R",0,"R",0,"A",,"R",0,"R",0,"A",,"R",0,"R",0,"A",
101462,"R",27,"R",99470,"R",3684,"A",,"A",,"A",,"R",27,"R",99470,"R",3684,"R",0,"R",0,"A",,"A",,"A",,"A",,"R",0,"R",0,"A",
101471,"R",0,"R",0,"A",,"A",,"A",,"A",,"R",0,"R",0,"A",,"R",0,"R",0,"A",,"A",,"A",,"A",,"R",0,"R",0,"A",
101480,"R",110,"R",799628,"R",7269,"R",28,"R",127014,"R",4536,"R",138,"R",926642,"R",6715,"R",5,"R",15500,"R",3100,"R",3,"R",5250,"R",1750,"R",8,"R",20750,"R",2594
101505,"R",107,"R",326627,"R",3053,"A",,"A",,"A",,"R",107,"R",326627,"R",3053,"R",3,"R",5187,"R",1729,"A",,"A",,"A",,"R",3,"R",5187,"R",1729
101514,"R",136,"R",386841,"R",2844,"A",,"A",,"A",,"R",136,"R",386841,"R",2844,"R",6,"R",4366,"R",728,"A",,"A",,"A",,"R",6,"R",4366,"R",728
101569,"R",38,"R",125161,"R",3294,"A",,"A",,"A",,"R",38,"R",125161,"R",3294,"R",4,"R",7502,"R",1876,"A",,"A",,"A",,"R",4,"R",7502,"R",1876
101587,"R",40,"R",209553,"R",5239,"R",45,"R",257206,"R",5716,"R",85,"R",466759,"R",5491,"R",5,"R",8500,"R",1700,"R",6,"R",19750,"R",3292,"R",11,"R",28250,"R",2568
101602,"R",33,"R",93677,"R",2839,"A",,"A",,"A",,"R",33,"R",93677,"R",2839,"R",0,"R",0,"A",,"A",,"A",,"A",,"R",0,"R",0,"A",
101648,"R",4,"R",19108,"R",4777,"A",,"A",,"A",,"R",4,"R",19108,"R",4777,"R",2,"R",5339,"R",2670,"A",,"A",,"A",,"R",2,"R",5339,"R",2670
101675,"R",13,"R",87830,"R",6756,"A",,"A",,"A",,"R",13,"R",87830,"R",6756,"R",0,"R",0,"A",,"A",,"A",,"A",,"R",0,"R",0,"A",
101693,"R",24,"R",290993,"R",12125,"R",5,"R",57947,"R",11589,"R",29,"R",348940,"R",12032,"R",0,"R",0,"A",,"R",0,"R",0,"A",,"R",0,"R",0,"A",
101709,"R",107,"R",442561,"R",4136,"R",0,"R",0,"A",,"R",107,"R",442561,"R",4136,"R",19,"R",85036,"R",4476,"R",0,"R",0,"A",,"R",19,"R",85036,"R",4476
101736,"R",38,"R",112668,"R",2965,"A",,"A",,"A",,"R",38,"R",112668,"R",2965,"R",0,"R",0,"A",,"A",,"A",,"A",,"R",0,"R",0,"A",
101879,"R",298,"R",2281980,"R",7658,"R",56,"R",270860,"R",4837,"R",354,"R",2552840,"R",7211,"R",2,"R",5250,"R",2625,"R",9,"R",18750,"R",2083,"R",11,"R",24000,"R",2182
101897,"R",12,"R",34017,"R",2835,"A",,"A",,"A",,"R",12,"R",34017,"R",2835,"R",0,"R",0,"A",,"A",,"A",,"A",,"R",0,"R",0,"A",
101912,"R",10,"R",111017,"R",11102,"R",1,"R",5044,"R",5044,"R",11,"R",116061,"R",10551,"R",0,"R",0,"A",,"R",0,"R",0,"A",,"R",0,"R",0,"A",
101994,"R",2,"R",6568,"R",3284,"A",,"A",,"A",,"R",2,"R",6568,"R",3284,"R",0,"R",0,"A",,"A",,"A",,"A",,"R",0,"R",0,"A",
102030,"R",42,"R",107968,"R",2571,"A",,"A",,"A",,"R",42,"R",107968,"R",2571,"R",14,"R",36342,"R",2596,"A",,"A",,"A",,"R",14,"R",36342,"R",2596
102049,"R",53,"R",1075525,"R",20293,"R",27,"R",403066,"R",14928,"R",80,"R",1478591,"R",18482,"R",0,"R",0,"A",,"R",0,"R",0,"A",,"R",0,"R",0,"A",
102058,"R",0,"R",0,"A",,"R",0,"R",0,"A",,"R",0,"R",0,"A",,"R",0,"R",0,"A",,"R",0,"R",0,"A",,"R",0,"R",0,"A",
102067,"R",149,"R",207052,"R",1390,"A",,"A",,"A",,"R",149,"R",207052,"R",1390,"R",6,"R",5280,"R",880,"A",,"A",,"A",,"R",6,"R",5280,"R",880
102076,"R",22,"R",43014,"R",1955,"A",,"A",,"A",,"R",22,"R",43014,"R",1955,"R",2,"R",2194,"R",1097,"A",,"A",,"A",,"R",2,"R",2194,"R",1097
102094,"R",224,"R",2043580,"R",9123,"R",107,"R",900810,"R",8419,"R",331,"R",2944390,"R",8895,"R",13,"R",36250,"R",2788,"R",7,"R",9250,"R",1321,"R",20,"R",45500,"R",2275
